id_produto,loja,data,quantidade_estoque
30,Loja 6,2024-09-22,95
18,Loja 2,2024-10-20,172
46,Loja 3,2024-12-09,213
20,Loja 4,2024-11-26,91
9,Loja 4,2024-11-15,184
13,Loja 4,2024-10-03,380
46,Loja 2,2024-09-07,205
23,Loja 4,2024-10-25,395
54,Loja 4,2024-09-14,445
35,Loja 1,2024-11-12,868
39,Loja 1,2024-11-03,385
30,Loja 5,2024-12-18,408
25,Loja 1,2024-12-26,103
49,Loja 3,2024-12-03,361
4,Loja 6,2024-10-16,278
6,Loja 3,2024-11-30,335
41,Loja 3,2024-11-10,147
7,Loja 6,2024-11-28,614
55,Loja 5,2024-12-09,215
17,Loja 1,2024-12-14,354
33,Loja 5,2024-10-11,80
56,Loja 4,2024-11-20,946
52,Loja 3,2024-10-01,235
33,Loja 3,2024-10-13,202
19,Loja 4,2024-12-17,206
4,Loja 5,2024-10-20,162
50,Loja 4,2024-10-26,160
32,Loja 4,2024-12-06,71
55,Loja 5,2024-12-12,207
43,Loja 6,2024-12-24,37
36,Loja 4,2024-12-05,240
19,Loja 2,2024-12-22,87
45,Loja 2,2024-10-17,258
46,Loja 5,2024-09-18,238
12,Loja 4,2024-10-17,150
59,Loja 5,2024-10-13,453
59,Loja 6,2024-12-25,136
8,Loja 3,2024-12-09,245
57,Loja 1,2024-10-17,600
52,Loja 2,2024-11-27,320
42,Loja 3,2024-09-24,120
15,Loja 5,2024-12-05,517
45,Loja 6,2024-10-12,382
31,Loja 5,2024-09-29,69
38,Loja 1,2024-09-25,98
59,Loja 3,2024-12-28,567
7,Loja 5,2024-12-28,120
41,Loja 1,2024-12-02,370
31,Loja 3,2024-10-09,210
60,Loja 3,2024-10-19,255
6,Loja 1,2024-09-10,362
18,Loja 4,2024-10-15,296
37,Loja 6,2024-10-01,111
10,Loja 5,2024-11-10,149
57,Loja 6,2024-10-01,279
25,Loja 1,2024-10-26,180
48,Loja 4,2024-10-22,63
54,Loja 5,2024-09-27,860
53,Loja 3,2024-12-30,361
2,Loja 5,2024-11-04,454
6,Loja 6,2024-10-06,115
60,Loja 2,2024-12-19,32
21,Loja 2,2024-10-01,326
44,Loja 6,2024-12-15,546
42,Loja 6,2024-10-16,175
45,Loja 4,2024-12-26,71
35,Loja 1,2024-10-14,795
15,Loja 5,2024-11-30,369
6,Loja 6,2024-10-16,122
47,Loja 2,2024-11-18,542
35,Loja 6,2024-09-12,118
12,Loja 6,2024-09-16,1139
28,Loja 4,2024-09-19,601
25,Loja 6,2024-10-17,162
27,Loja 6,2024-09-25,278
8,Loja 2,2024-12-12,421
51,Loja 4,2024-11-10,172
20,Loja 5,2024-12-15,577
11,Loja 5,2024-12-26,171
5,Loja 1,2024-09-15,122
31,Loja 5,2024-10-15,106
41,Loja 5,2024-11-10,119
30,Loja 4,2024-12-22,174
16,Loja 5,2024-10-03,177
14,Loja 2,2024-10-04,123
12,Loja 5,2024-10-26,51
15,Loja 1,2024-11-20,482
57,Loja 2,2024-12-23,576
15,Loja 6,2024-10-14,611
9,Loja 6,2024-09-25,421
33,Loja 4,2024-11-13,619
29,Loja 4,2024-10-21,129
1,Loja 5,2024-11-06,188
60,Loja 1,2024-12-31,173
14,Loja 1,2024-10-26,53
5,Loja 2,2024-10-19,120
10,Loja 3,2024-10-22,621
2,Loja 3,2024-09-15,511
10,Loja 5,2024-09-04,262
18,Loja 3,2024-12-27,80
13,Loja 2,2024-10-21,113
